NO,Datetime,Type,first peak/valley value,datetime1,second peak/valley value,datetime2,Duration,RSI MA(14),datetime,entry_price,exit_price,MA20,MA50,MA100,MA200,Result (48h) %,Max TP,datetimeTP,Max SL,datetimeSL,gain=1/ loss=0 order,gain first and TP > SL,gain first and TP < SL,loss first and TP > SL,loss first and TP < SL,loss_duration,TP_duration,gain of W=True,gain of X=True,gain of Y=True,gain of Z=True,loss of W=True,loss of X=True,loss of Y=true,loss of Z=True,gain Dur of W=True,gain Dur of X=True,gain Dur of Y=True,gain Dur of Z=True,loss Dur of W=True,loss Dur of X=True,loss Dur of Y=True,loss Dur of Z=True,closing W,closing X,closing Y,closing Z
1,3/10/2023 11:00,Buy,50.55234709,3/9/2023 20:00,45.70034483,2/5/2023 17:00,771:00:00,41.37025526,3/10/2023 11:00,19750,20435,20115.305,20195.346,21622.806,23616.921,3.47%,4.681012658,3/11/2023 1:00,-0.506329114,3/10/2023 14:00,0,FALSE,FALSE,TRUE,FALSE,3:00:00,14:00:00,0,0,4.681012658,0,0,0,-0.506329114,0,0:00:00,0:00:00,14:00:00,0:00:00,0:00:00,0:00:00,3:00:00,0:00:00,0.00%,0.00%,3.47%,0.00%
9,3/23/2024 5:00,Buy,31.22474005,3/22/2023 19:00,54.91703382,3/7/2023 20:00,359:00:00,44.95416171,3/23/2024 5:00,64106.6,67395,64797.335,65370.47,67635.919,68862.1175,5.13%,5.73014323,3/25/2024 5:00,-0.443948049,3/24/2024 4:00,0,FALSE,FALSE,TRUE,FALSE,23:00:00,48:00:00,0,0,5.73014323,0,0,0,-0.443948049,0,0:00:00,0:00:00,48:00:00,0:00:00,0:00:00,0:00:00,23:00:00,0:00:00,0.00%,0.00%,5.13%,0.00%
14,4/18/2023 2:00,Buy,36.50126153,4/17/2023 15:00,51.17678376,2/10/2023 12:00,1587:00:00,49.00705014,4/18/2023 2:00,29453.2,28734.4,29979.46,29689.816,28899.58,28250.688,-2.44%,3.486208629,4/18/2023 12:00,-3.041774748,4/19/2023 23:00,1,TRUE,FALSE,FALSE,FALSE,45:00:00,10:00:00,3.486208629,0,0,0,-3.041774748,0,0,0,10:00:00,0:00:00,0:00:00,0:00:00,45:00:00,0:00:00,0:00:00,0:00:00,-2.44%,0.00%,0.00%,0.00%
16,4/22/2023 12:00,Buy,39.47145798,4/22/2023 0:00,44.552018,3/27/2023 14:00,610:00:00,48.68998788,4/22/2023 12:00,27325.1,27431.4,27574.385,27561.788,27738.382,28480.015,0.39%,2.469890321,4/24/2023 1:00,-0.677399168,4/24/2023 8:00,1,TRUE,FALSE,FALSE,FALSE,44:00:00,37:00:00,2.469890321,0,0,0,-0.677399168,0,0,0,37:00:00,0:00:00,0:00:00,0:00:00,44:00:00,0:00:00,0:00:00,0:00:00,0.39%,0.00%,0.00%,0.00%
19,5/2/2023 1:00,Buy,28.81148649,5/1/2023 20:00,42.03214978,4/21/2023 23:00,237:00:00,33.81372385,5/2/2023 1:00,27927.2,29057.4,28199.91,28445.398,28801.576,28517.618,4.05%,4.76667908,5/3/2023 22:00,-0.262110058,5/2/2023 5:00,0,FALSE,FALSE,TRUE,FALSE,4:00:00,45:00:00,0,0,4.76667908,0,0,0,-0.262110058,0,0:00:00,0:00:00,45:00:00,0:00:00,0:00:00,0:00:00,4:00:00,0:00:00,0.00%,0.00%,4.05%,0.00%
20,5/6/2023 20:00,Buy,42.23079235,5/6/2023 14:00,28.81148649,5/1/2023 20:00,114:00:00,59.91412199,5/6/2023 20:00,28783.5,27519,28860.96,28427.708,28045.237,27450.2235,-4.39%,1.228134174,5/7/2023 1:00,-5.327705109,5/8/2023 20:00,1,FALSE,TRUE,FALSE,FALSE,48:00:00,5:00:00,0,1.228134174,0,0,0,-5.327705109,0,0,0:00:00,5:00:00,0:00:00,0:00:00,0:00:00,48:00:00,0:00:00,0:00:00,0.00%,-4.39%,0.00%,0.00%
21,5/8/2023 21:00,Buy,37.70547805,5/8/2023 19:00,28.81148649,5/1/2023 20:00,167:00:00,49.64277743,5/8/2023 21:00,27531.2,27497.5,27598.135,27661.732,27267.211,27141.1615,-0.12%,2.781571453,5/10/2023 13:00,-3.140437031,5/10/2023 17:00,1,FALSE,TRUE,FALSE,FALSE,44:00:00,40:00:00,0,2.781571453,0,0,0,-3.140437031,0,0,0:00:00,40:00:00,0:00:00,0:00:00,0:00:00,44:00:00,0:00:00,0:00:00,0.00%,-0.12%,0.00%,0.00%
23,5/17/2023 16:00,Buy,28.28534508,5/18/2023 17:00,32.59107659,5/12/2023 5:00,156:00:00,55.95454004,5/17/2023 16:00,26891.8,26822.4,27287.89,27039.502,26992.213,26860.498,-0.26%,2.261655969,5/17/2023 21:00,-2.069404056,5/18/2023 17:00,1,TRUE,FALSE,FALSE,FALSE,25:00:00,5:00:00,2.261655969,0,0,0,-2.069404056,0,0,0,5:00:00,0:00:00,0:00:00,0:00:00,25:00:00,0:00:00,0:00:00,0:00:00,-0.26%,0.00%,0.00%,0.00%
24,5/19/2023 3:00,Buy,28.28534508,5/18/2023 17:00,32.59107659,5/12/2023 5:00,156:00:00,47.64594298,5/19/2023 3:00,26825,27166.5,26855,26918.834,26906.904,26770.377,1.27%,1.726001864,5/21/2023 0:00,-0.797017707,5/19/2023 15:00,0,FALSE,FALSE,TRUE,FALSE,12:00:00,45:00:00,0,0,1.726001864,0,0,0,-0.797017707,0,0:00:00,0:00:00,45:00:00,0:00:00,0:00:00,0:00:00,12:00:00,0:00:00,0.00%,0.00%,1.27%,0.00%
25,5/22/2023 5:00,Buy,30.59489646,5/22/2023 1:00,29.8588885,5/17/2023 11:00,110:00:00,41.50841709,5/22/2023 5:00,26743,26762.3,26846.34,27040.47,26704.872,26982.4605,0.07%,2.933477919,5/23/2023 5:00,-0.369442471,5/24/2023 3:00,1,TRUE,FALSE,FALSE,FALSE,46:00:00,24:00:00,2.933477919,0,0,0,-0.369442471,0,0,0,24:00:00,0:00:00,0:00:00,0:00:00,46:00:00,0:00:00,0:00:00,0:00:00,0.07%,0.00%,0.00%,0.00%
27,5/25/2023 7:00,Buy,35.49868454,5/25/2023 1:00,47.08545181,5/24/2023 14:00,11:00:00,37.31108691,5/25/2023 7:00,26118.9,26715.3,26347.67,26509.458,26897.44,27095.9715,2.28%,3.086270861,5/26/2023 14:00,-0.042497961,5/25/2023 8:00,0,FALSE,FALSE,TRUE,FALSE,1:00:00,31:00:00,0,0,3.086270861,0,0,0,-0.042497961,0,0:00:00,0:00:00,31:00:00,0:00:00,0:00:00,0:00:00,1:00:00,0:00:00,0.00%,0.00%,2.28%,0.00%
29,5/31/2023 19:00,Buy,45.93643589,5/31/2023 15:00,53.04518016,5/31/2023 5:00,10:00:00,50.04422371,5/31/2023 19:00,26999.5,27231.6,26929.11,26973.016,27059.927,26739.126,0.86%,1.290394267,6/1/2023 0:00,-1.932998759,6/2/2023 0:00,1,FALSE,TRUE,FALSE,FALSE,29:00:00,5:00:00,0,1.290394267,0,0,0,-1.932998759,0,0,0:00:00,5:00:00,0:00:00,0:00:00,0:00:00,29:00:00,0:00:00,0:00:00,0.00%,0.86%,0.00%,0.00%
